Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°F);Weather type;Notes
2019-02-25 23:33:47;2019-02-26 07:58:52;87%;85%;;0;5094;Normal;101.9;;128.8;30304.6;28991.4;606.1;2019-02-26 07:30:00;2019-02-26 08:00:00;true;0.0;32.0;No weather;
2019-02-26 23:00:53;2019-02-27 06:15:14;72%;83%;;0;1616;Normal;101.9;;134.1;26060.7;22672.8;521.2;2019-02-27 06:00:00;2019-02-27 06:30:00;true;249.0;32.0;No weather;
2019-02-28 00:15:33;2019-02-28 07:26:29;69%;82%;;0;6170;Normal;101.9;;143.0;25856.3;19823.1;517.1;2019-02-28 07:30:00;2019-02-28 08:00:00;true;685.0;32.0;No weather;
2019-03-03 23:04:13;2019-03-04 05:59:26;68%;0%;;0;653;Normal;101.5;;137.9;24912.9;19681.2;4733.5;2019-03-04 05:30:00;2019-03-04 06:00:00;true;501.0;32.0;No weather;
2019-03-05 00:14:44;2019-03-05 08:00:36;58%;73%;;0;4286;Normal;101.6;;187.7;27952.3;23759.4;559.0;2019-03-05 07:30:00;2019-03-05 08:00:00;true;561.0;32.0;No weather;
2019-03-06 00:03:23;2019-03-06 05:51:24;54%;77%;;0;1708;Normal;101.5;;149.5;20880.3;19140.3;417.6;2019-03-06 05:30:00;2019-03-06 06:00:00;true;576.0;32.0;No weather;
2019-03-11 00:09:00;2019-03-11 06:00:47;65%;0%;;0;512;Normal;101.4;;116.8;21107.2;16885.8;2040.4;2019-03-11 05:30:00;2019-03-11 06:00:00;true;0.0;32.0;No weather;
2019-03-12 01:18:57;2019-03-12 07:44:31;67%;68%;;0;5116;Normal;101.1;;129.0;23134.8;18893.4;2005.0;2019-03-12 07:30:00;2019-03-12 08:00:00;true;0.0;32.0;No weather;
2019-03-12 23:32:49;2019-03-13 06:27:32;74%;71%;;0;4211;Normal;100.8;;123.3;24882.7;19574.4;4644.8;2019-03-13 06:00:00;2019-03-13 06:30:00;true;0.0;32.0;No weather;
2019-03-14 00:22:27;2019-03-14 07:58:35;75%;74%;;0;4722;Normal;102.1;;139.5;27367.8;25634.5;547.4;2019-03-14 07:30:00;2019-03-14 08:00:00;true;270.0;32.0;No weather;
2019-03-17 23:50:42;2019-03-18 06:20:38;77%;0%;;0;627;Normal;101.5;;100.3;23396.5;20277.0;2339.7;2019-03-18 06:00:00;2019-03-18 06:30:00;true;0.0;32.0;No weather;
2019-03-19 00:31:19;2019-03-19 07:43:08;73%;83%;;0;4483;Normal;101.4;;134.2;25909.2;23059.2;518.2;2019-03-19 07:30:00;2019-03-19 08:00:00;true;0.0;32.0;No weather;
2019-03-20 00:05:56;2019-03-20 06:29:31;82%;85%;;0;1403;Normal;101.3;;44.7;23014.9;19102.4;1994.6;2019-03-20 06:00:00;2019-03-20 06:30:00;true;0.0;32.0;No weather;
2019-03-21 00:18:47;2019-03-21 07:50:51;97%;85%;;0;2818;Normal;101.8;;53.3;27124.2;22061.0;542.5;2019-03-21 07:30:00;2019-03-21 08:00:00;true;0.0;32.0;No weather;
2019-03-25 00:00:06;2019-03-25 06:24:52;82%;0%;;0;2132;Normal;102.1;;61.6;23086.1;20315.8;2770.3;2019-03-25 06:00:00;2019-03-25 06:30:00;true;0.0;32.0;No weather;
2019-03-26 00:35:33;2019-03-26 07:58:34;92%;82%;;0;6217;Normal;101.6;;69.1;26581.0;24100.1;1772.1;2019-03-26 07:30:00;2019-03-26 08:00:00;true;0.0;32.0;No weather;
2019-03-26 23:49:03;2019-03-27 06:16:06;82%;81%;;0;2151;Normal;101.3;;58.6;23222.5;18965.0;3173.7;2019-03-27 06:00:00;2019-03-27 06:30:00;true;0.0;32.0;No weather;
2019-03-28 00:57:10;2019-03-28 07:40:46;77%;80%;;0;4520;Normal;101.8;;89.6;24216.0;20422.1;484.3;2019-03-28 07:30:00;2019-03-28 08:00:00;true;0.0;32.0;No weather;
2019-04-01 00:01:39;2019-04-01 06:18:20;81%;0%;;0;942;Normal;101.6;;23.3;22601.5;18457.9;4143.6;2019-04-01 06:00:00;2019-04-01 06:30:00;true;0.0;32.0;No weather;
2019-04-02 00:46:38;2019-04-02 07:46:16;90%;82%;;0;4073;Normal;101.1;;41.0;25178.0;21820.9;503.6;2019-04-02 07:30:00;2019-04-02 08:00:00;true;0.0;32.0;No weather;
2019-04-03 00:08:29;2019-04-03 06:25:02;81%;82%;;0;1838;Normal;101.4;;35.1;22593.1;20107.9;451.9;2019-04-03 06:00:00;2019-04-03 06:30:00;true;0.0;32.0;No weather;
2019-04-03 23:26:12;2019-04-04 05:57:52;79%;85%;;0;4451;Normal;101.6;;61.1;23500.5;19192.0;470.0;2019-04-04 05:30:00;2019-04-04 06:00:00;true;0.0;32.0;No weather;
2019-04-04 23:17:53;2019-04-05 05:37:59;80%;90%;;0;3247;Normal;101.4;;39.3;22805.5;17864.3;2128.5;2019-04-05 05:30:00;2019-04-05 06:00:00;true;0.0;32.0;No weather;
2019-04-08 00:03:02;2019-04-08 06:28:16;71%;87%;;0;904;Normal;101.8;;87.7;23114.1;21881.3;462.3;2019-04-08 06:00:00;2019-04-08 06:30:00;true;0.0;32.0;No weather;
2019-04-08 23:15:13;2019-04-09 05:58:53;84%;89%;;0;4245;Normal;101.4;;39.9;24220.0;21232.8;2341.3;2019-04-09 05:30:00;2019-04-09 06:00:00;true;0.0;32.0;No weather;
2019-04-09 23:36:29;2019-04-10 06:29:28;82%;91%;;0;2159;Normal;101.2;;55.6;24778.8;20318.6;991.2;2019-04-10 06:00:00;2019-04-10 06:30:00;true;0.0;32.0;No weather;
2019-04-10 23:11:31;2019-04-11 06:07:09;81%;92%;;0;4057;Normal;101.6;;61.1;24938.0;21779.2;2327.6;2019-04-11 06:00:00;2019-04-11 06:30:00;true;0.0;32.0;No weather;
2019-04-11 23:27:22;2019-04-12 06:26:59;85%;94%;;0;2758;Normal;100.7;;43.9;25177.4;20897.3;1510.6;2019-04-12 06:00:00;2019-04-12 06:30:00;true;0.0;32.0;No weather;
2019-04-15 23:41:05;2019-04-16 06:23:02;80%;0%;;0;4348;Normal;101.0;;52.0;24116.8;19936.5;3135.2;2019-04-16 06:00:00;2019-04-16 06:30:00;true;0.0;32.0;No weather;
2019-04-16 23:11:43;2019-04-17 06:22:20;90%;96%;;0;3404;Normal;101.6;;26.6;25837.0;21530.8;2842.1;2019-04-17 06:00:00;2019-04-17 06:30:00;true;0.0;32.0;No weather;
